replicate,day,start_time,end_time,focal,partner,avoid,success,abort,behaviour,notes,patch_focal,patch_partner,treatment
1,1,8:03:01 AM,,",6","5,",y,y,NA,mount,,G,P,isolated
1,1,8:03:29 AM,8:08:59 AM,",6","2,",y,n,n,insemination,,G,I,social
1,1,8:06:48 AM,,",8","1,",y,y,NA,mount,,H,K,social
1,1,8:07:22 AM,,",8","1,",n,NA,y,mount,,H,K,social
1,1,8:10:10 AM,,",6","2,",n,NA,y,mount,,G,I,social
1,1,8:10:17 AM,,",8","1,",y,y,NA,mount,,H,K,social
1,1,8:11:44 AM,8:14:01 AM,",4","0,",n,NA,n,insemination,,E,L,social
1,1,8:12:06 AM,,",6","6,",y,y,NA,mount,,G,M,isolated
1,1,8:14:02 AM,,",8","1,",y,y,NA,mount,,H,K,social
1,1,8:14:23 AM,,",1","1,",y,y,NA,mount,,B,K,social
1,1,8:14:46 AM,,",6","2,",n,NA,y,mount,,G,I,social
1,1,8:15:44 AM,8:17:49 AM,",6","5,",n,NA,n,insemination,,G,P,isolated
1,1,8:22:40 AM,8:23:40 AM,",0","0,",y,n,n,insemination,,A,L,social
1,1,8:24:47 AM,,",8","2,",y,y,NA,mount,,H,I,social
1,1,8:25:01 AM,,",8","0,",y,y,NA,mount,,H,L,social
1,1,8:25:26 AM,,",8","0,",y,n,y,mount,,H,L,social
1,1,8:26:44 AM,,",8","6,",y,n,y,mount,,H,M,isolated
1,1,8:27:19 AM,8:28:50 AM,",6","2,",n,NA,n,insemination,,G,I,social
1,1,8:27:46 AM,,",1","5,",n,NA,y,mount,male lousy,B,P,isolated
1,1,8:29:16 AM,,",8","6,",y,y,NA,mount,female was against wall,H,M,isolated
1,1,8:31:32 AM,,",6","0,",y,y,NA,mount,,G,L,social
1,1,8:34:34 AM,8:36:10 AM,",3","9,",y,n,n,insemination,,D,N,isolated
1,1,8:38:50 AM,,",8","9,",y,y,NA,mount,,H,N,isolated
1,1,8:38:56 AM,,",8","8,",n,NA,y,mount,,H,O,isolated
1,1,8:39:32 AM,8:40:20 AM,",5","2,",n,NA,n,insemination,,F,I,social
1,1,8:41:18 AM,,",8","9,",n,NA,y,mount,,H,N,isolated
1,1,8:42:12 AM,,",1","8,",n,NA,y,mount,male lousy,B,O,isolated
1,1,8:43:58 AM,,",3","2,",y,n,y,mount,,D,I,social
1,1,8:45:49 AM,,",0","6,",y,y,NA,mount,,A,M,isolated
1,1,8:45:52 AM,,",6","5,",y,y,NA,mount,,G,P,isolated
1,1,8:46:08 AM,,",6","8,",y,y,NA,mount,,G,O,isolated
1,1,8:46:25 AM,,",6","5,",y,y,NA,mount,,G,P,isolated
1,1,8:47:35 AM,,",5","8,",n,NA,y,mount,,F,O,isolated
1,1,8:52:33 AM,8:55:04 AM,",6","6,",n,NA,n,insemination,,G,M,isolated
1,1,8:53:12 AM,,",8","4,",n,NA,y,mount,,H,J,social
1,1,9:04:02 AM,,",1","5,",n,NA,y,mount,male lousy,B,P,isolated
1,1,9:04:34 AM,,",6","6,",n,NA,y,mount,,G,M,isolated
1,1,9:05:22 AM,9:07:00 AM,",2","2,",n,NA,n,insemination,end time is an estimate,C,I,social
1,1,9:17:14 AM,,",1","5,",y,y,NA,mount,,B,P,isolated
